Actual\Predicted,BACKGROUND,CONCLUSIONS,METHODS,OBJECTIVE,RESULTS
BACKGROUND,2452,157,102,356,10
CONCLUSIONS,278,3864,39,7,383
METHODS,73,47,9477,53,234
OBJECTIVE,854,37,84,1349,9
RESULTS,24,313,452,3,8921
F1-Score,72.57%,85.97%,94.59%,65.79%,92.59%
