Actual\Predicted,BACKGROUND,CONCLUSIONS,METHODS,OBJECTIVE,RESULTS
BACKGROUND,1710,576,226,527,38
CONCLUSIONS,374,3393,198,25,581
METHODS,91,126,8984,114,569
OBJECTIVE,625,163,156,1355,34
RESULTS,28,432,953,6,8294
F1-Score,57.92%,73.28%,88.07%,62.16%,86.27%
