model_base,pooling_strategy,Accuracy (%),Precision (%),Recall (%),F1 (%),train_time_seconds
pubmedbert,pooler_output,88.11616742173237,88.3061609508137,88.11616742173237,88.03839313331684,2867.15049
pubmedbert,cls_token,88.06883494489148,88.2402018285888,88.06883494489148,87.98349891019616,2857.394685
pubmedbert,mean_pooling,87.89302860233957,88.12100583988054,87.89302860233957,87.80436860547321,2862.938321
distilbert,cls_token,86.88214213266617,87.05355317846653,86.88214213266617,86.75239176254675,1451.537795
distilbert,mean_pooling,86.79761985259314,87.00973308346526,86.79761985259314,86.65795559417721,1453.536939
tinybert,mean_pooling,80.31645141659341,79.98017357552014,80.31645141659341,80.0350092644423,312.489395
tinybert,cls_token,80.34011765501387,79.92177174154995,80.34011765501387,80.01652826053461,307.393502
tinybert,pooler_output,80.248833592535,79.91072931203517,80.248833592535,80.011575009035,312.747295
