Actual\Predicted,BACKGROUND,CONCLUSIONS,METHODS,OBJECTIVE,RESULTS
BACKGROUND,2393,214,129,326,15
CONCLUSIONS,296,3758,53,3,461
METHODS,86,55,9395,44,304
OBJECTIVE,872,54,106,1288,13
RESULTS,27,330,489,3,8864
F1-Score,70.89%,83.68%,93.69%,64.45%,91.52%
