Actual\Predicted,BACKGROUND,CONCLUSIONS,METHODS,OBJECTIVE,RESULTS
BACKGROUND,1737,581,270,446,43
CONCLUSIONS,340,3358,197,26,650
METHODS,104,105,9017,83,575
OBJECTIVE,689,162,185,1266,31
RESULTS,37,349,938,4,8385
F1-Score,58.05%,73.59%,88.01%,60.89%,86.46%
