Actual\Predicted,BACKGROUND,CONCLUSIONS,METHODS,OBJECTIVE,RESULTS
BACKGROUND,2474,153,97,338,15
CONCLUSIONS,284,3876,43,12,356
METHODS,75,36,9463,56,254
OBJECTIVE,884,38,85,1312,14
RESULTS,20,349,470,2,8872
F1-Score,72.62%,85.91%,94.43%,64.74%,92.30%
