Actual\Predicted,BACKGROUND,CONCLUSIONS,METHODS,OBJECTIVE,RESULTS
BACKGROUND,1666,671,220,482,38
CONCLUSIONS,316,3504,165,23,563
METHODS,100,135,8983,90,576
OBJECTIVE,666,182,166,1286,33
RESULTS,28,449,915,4,8317
F1-Score,56.93%,73.68%,88.36%,60.98%,86.46%
