Actual\Predicted,BACKGROUND,CONCLUSIONS,METHODS,OBJECTIVE,RESULTS
BACKGROUND,2395,225,127,316,14
CONCLUSIONS,321,3747,58,1,444
METHODS,81,53,9413,44,293
OBJECTIVE,895,52,113,1260,13
RESULTS,25,340,489,1,8858
F1-Score,70.50%,83.38%,93.74%,63.72%,91.63%
