Actual\Predicted,BACKGROUND,CONCLUSIONS,METHODS,OBJECTIVE,RESULTS
BACKGROUND,2259,3,76,732,7
CONCLUSIONS,1,4367,11,2,190
METHODS,136,76,9210,93,369
OBJECTIVE,769,0,61,1498,5
RESULTS,17,379,590,2,8725
f1score,0.72184055,0.929544487,0.928801936,0.642918455,0.917986217
