Actual\Predicted,BACKGROUND,CONCLUSIONS,METHODS,OBJECTIVE,RESULTS
BACKGROUND,2265,4,80,722,6
CONCLUSIONS,1,4369,8,2,191
METHODS,160,90,9141,86,407
OBJECTIVE,772,0,61,1494,6
RESULTS,14,399,632,4,8664
f1score,0.720305295,0.926322485,0.92305362,0.643826761,0.912624427
